#B站推出青少年模式#,,,,
username,comment,interact,date,likes
鸭鸭在路上,B站里面的资源超丰富,null,5-30 12:41,1
陌善言辞,青少年???,null,5-30 12:33,1
亲爱的夏目啊,可以的，b站,null,5-30 11:58,1
像风一样jhz,,null,5-30 16:41,
穷到不想说话啊,@Yui_Acchan,null,5-30 16:32,
没事儿你就偷着乐吧,转发微博,null,5-30 15:36,
深海瓢,@你好懂啊,null,5-30 15:24,
过期女大学生,还好我成年了,null,5-30 14:43,
2001love0314,我很幸运，今年刚好成年,null,5-30 14:43,
Lxcius,@栗楠会,null,5-30 14:43,
一曲离红尘,所有视频app好像都出了这个模式 更新到最新版本。,null,5-30 14:43,
微观经济学2,并没有用 我昨天投诉的一个挂b站推荐非医学专业给猫做手术的参加b站活动的视频到现在现在还没有给回复呢 又当又立小破站啊。强排前面那位所有app都请使用的。不是针对谁 但是本身血腥暴力违法违规视频其网站就必须控制其传播方向及对象的义务,null,5-30 14:41,
钱宝有钱包,太好了，一定推广，所以哪些自查下架的能不能上了,null,5-30 14:40,
Miss-公爵,逼到这份上l我,null,5-30 14:40,
panda琬,妙啊，妙啊~,null,5-30 14:38,
Vanson_範小邪,转发微博,null,5-30 14:38,
堂堂堂本吱呦,非常支持了，特别是那个限制打赏,null,5-30 14:36,
卉卉今年三岁啦,可以啊哈哈哈,null,5-30 14:36,
白水浠是瘦的不倒翁,然而b站搜索不好用，想要找一些讲课视频都直接搜不到,null,5-30 14:35,
烟嗓大佬,青少年模式，那么 那个男人可以回来吗,null,5-30 14:34,
失眠症you,舒服了,null,5-30 14:33,
枪手w普通人,哈哈哈哈哈哈哈,null,5-30 14:28,
安吉拉弗斯基兔,我一直觉得这网站还好吧为啥一直有人黑？？被算计？,null,5-30 14:27,
白月光与追光者,,null,5-30 14:27,
底片图,突然觉得成年人也适用这个时间段,null,5-30 14:27,
肉肉肉_包子,@月子小萌萌,null,5-30 14:26,
住在狐狸的眼睛,挺好的啊为啥要用表情。,null,5-30 14:26,
猪妹是大哥的女人,好！快搞！,null,5-30 14:21,
芝麻于,我只喜欢鬼畜和哲学 怎么办,null,5-30 14:18,
我丢雷猴,这个大家怎么看,null,5-30 14:13,
SUIN-S,评论都很不错啊，就怕上来就骂,null,5-30 14:11,
最后听了班德瑞的_月光仙子_,猫耳什么时候有！！！！,null,5-30 14:03,
耳朵疼的狗狗,反正差不多已经阉了,null,5-30 14:02,
橙晞呀,啊啊…还好我成年了,null,5-30 14:01,
崔西西儿,腾讯视频也是这样的啊,null,5-30 14:01,
咕噜米酱,非常棒,null,5-30 13:59,
橘子桔子树苗,好棒！,null,5-30 13:59,
越迁度陌v,建议严格审查哦,null,5-30 13:58,
山居常与白云聚,拜托中国搞分级吧，别把一切低龄化好吗,null,5-30 13:57,
永远的阿荒,那啥时候有成人模式呀？需要尊贵会员的那种,null,5-30 13:51,
苦苦的伟大,我真希望可以解決的是，看番的時候，彈幕能不能不要一堆一直ky的人，雖然我知道關彈幕,null,5-30 13:48,
黑糖糖糖c,这么说吧，成年了的普遍都支持，未成年的普遍都不支持嗷,null,5-30 13:47,
励恩国际少儿英语,建议全部推出青少年模式,null,5-30 13:46,
袍泽魂灵,还好我还有几个月就成年了 冲浪啊,null,5-30 13:42,
爱豆广泛的迷妹,昨天设置了一下玩，然后今天就忘了，今天打开的时候，看着首页一脸懵逼，属于我的内容哪去了呢,null,5-30 13:42,
DROLE_L,赶紧分级吧,null,5-30 13:42,
谜之声的谜之酥,干得好,null,5-30 13:42,
肥手掏xy,还在B站追番看鬼畜的请出来挨打,null,5-30 13:40,
seasoNAugust,我帮李永乐老师打个call,null,5-30 13:39,
回忆染指凄凉,管管孩子，救救游戏吧,null,5-30 13:39,
上官子鱼,突然觉得成年挺好,null,5-30 13:39,
修TA一个顺心意,现在的孩子那么聪明，你设置成青少年模式给他看，到他手里就成正常模式了，等再回到你手里的时候还是青少年模式,null,5-30 13:38,2
欧布天下,转发微博,null,5-30 13:38,
大菲嘿嘿嘿,这一波666,null,5-30 13:37,
阿100blue,千呼万唤始出来 昨天也看到wb的青少年模式,null,5-30 13:37,
千莫无言彼如风,建议账号必须绑定身份证，不然不能正常使用和没账号一样不然哪个小学生会开这种东西,null,5-30 13:35,
芥末芥末瑶,小盆友就要有小盆友的亚子,null,5-30 13:34,
