#儿童砸钱充值手游#,,,,
username,comment,interact,date,likes
夜凉竹,就觉得律师说对了一句话：这是未成年人起诉游戏公司的第一起案件。以后做游戏还要顺便做一个程序防止未成年人用成年人的手机支付，你行你倒是上。,null,2017-6-1,3
加油加油猪崽,热门抢的不咋地，会员倒是一月月的充,null,2017-5-31,5
lady橘,卖菜刀的还得担心别人买去砍人可怎么办[攤手],null,2017-5-31,5
苍梧失月夜,怪谁呢？为什么孩子会知道支付密码,共3条回复,2017-5-31,10
斯坦尼古拉斯凯奇斯基,游戏人家开发出来放那里，你想玩就玩不想玩没人逼着；皮肤装备放那里，你想充钱就充不想充没人逼着，怎么就希望人家游戏公司完善自己了？全部都是自愿的，你儿子看到密码偷偷转钱你怎么不说，怪不得有这种孩子，责任百分之99在家长,共4条回复,2017-5-31,8
微博视频,网瘾少年在身边,null,2017-5-31,2
踏水清哥,就是因为有这么不要脸的父母，才能教育出不懂自律的孩子，孩子真没什么错……,null,2017-6-1,2
阿萱十二兽,这个游戏赶紧封了吧，现在玩的全是小孩子，害人啊,null,2017-6-1,2
Zeng-Tao,为了这个评论我又重新看了一遍视频 抛开游戏层面来说 如果没给孩子手机什么都不会发生,共2条回复,2017-5-31,11
Anzexxx,家进贼了 我能不能把防盗门公司 警察什么的告了？因为防不胜防,共3条回复,2017-5-31,7
不正经的蜘蛛,最燃我对腾讯没什么好感 但是这件事家长脑子进水了这相当于一个人被抢劫犯捅伤 他就把厨具公司告了,null,2017-5-31,5
来颗蜜柚,父母监管不到位怪腾讯？孩子玩手机玩电脑是腾讯的锅？,null,2017-5-31,9
-_SamuelWoo,禁止未成年人玩游戏咯。,null,2017-5-31,5
朱彦鹏6569,这游戏也是不分年龄孩子是最经不起游戏诱惑的，没有自控力！这游戏这东西毒害了几代人了，孩子是未来社会的顶梁柱这样毒害下一代赚钱赚的都黑心啦！呼吁国家有关部门应该真正的监管起来！,共12条回复,2017-6-1,4
J丶安东尼,这次我站腾讯。 1，说人家腾讯体系没做好的你们脑子有坑还是没看视频？孩子是用他爸手机充的钱，说出来你们可能不信。腾讯几乎每个游戏都有实名制。还能怎么防？充值前出示各种证？ 2，本质上这就是商业行为，买东西付钱了。回来你说这是你儿子买的不算，人家也懒得鄙视你答应退钱了，你还要告人家？,共2条回复,2017-6-1,6
宗生选泽117,咋不告手机厂家呢，没手机他怎么玩？咋不告你生他那家医院呢，不生出来不就没事了？咋不告民政局呢，不跟他爹结婚不就没他了？,null,2017-5-31,4
Shermy--,怪不得前段时间腾讯游戏要实名认证 ，但又能怎样？孩子能“偷钱”，那也能“盗”父母身份证号。,共2条回复,2017-5-31,8
黒黒黒白黒,没事的 广大网友还是支持腾讯的 虽然它坑钱 但是自愿充啊,null,2017-5-31,9
勾牧是个大魔王,从法律来讲未成年监护人可驳回其操作申请退款，腾讯已经说了退款了，家长觉得同意退款就是真理站在他们这一边？硬要拿这件事坑人家一笔大的？游戏实名制，孩子用的家长账号家长的钱充值，责任在家长自己，你自己不反省还要拿这事要钱，如果不是脑子有问题就是奶子有问题！果然是什么人教出什么孩子！,共1条回复,2017-6-1,4
怀陟,如果是家长自己，没法收场嫁祸孩子找赔偿，有这种可能吗，这次可能没有，不能确保下次的真假,null,2017-5-31,5
流萤酱0502,人家腾讯公司也不知手机后面是小孩还是老人啊！现在家长给孩子配手机都是智能机，游戏动动小手就能下载了。难道不是家长惯的？,null,2017-5-31,5
JIuY_一只咸鱼,开发禁止未成年人玩游戏的程序？实名制都可以拿父母的身份证呢！干脆搞一个指纹进入，搜索登入者指纹是否成年不过这样就暴露隐私了。真的是说的轻松。,共1条回复,2017-5-31,4
自嘲_也是快乐,那我就告这个小孩，坑队友，造成游戏混乱！,null,2017-5-31,6
这家伙真浪,那些跳楼的还得把楼给拆了？？,null,2017-5-31,5
羅羽笙_,打劫银行---怪银行钱多，走路不看路---怪路不平整,共1条回复,2017-5-31,6
耕耘农夫,讨厌腾讯的请点赞！,null,2017-5-31,7
陈千烦,看完视频我取消了所有的赞，作为一个未成年人，他的思想是没有那么全面的，我觉得起诉，是很好的一个途径，面对社会的这么多诱惑，我们要治标治本，开发一个充值系统，很好，这波我跟家长,共22条回复,2017-5-31,6
南京这座城,某讯游戏，用钱创造快乐,共2条回复,2017-5-31,7
你说的那些事,典型的拉不出屎来怪厕所！,null,2017-6-1,1
