#用二维码付款被身后人盗刷#,,,,
username,comment,interact,date,likes
日橙望英台,我都说了，之前真的有人对此做过类似实验（可惜，可能因为遭到别有用心的人前来搞事，发布那个实验视频的用户已经删掉了）。|⚠：以下情况确实会被盗刷！①外露支付码。②远距离盗刷（因为在扫码时可能会自动对焦并放大）。③通过摄影机盗刷。,null,5-27 12:58,
七台河检察,【警惕！用二维码付款 身后竟有人盗刷】#用二维码付款被身后人盗刷#,null,5-27 12:54,
柒色鳐,鬼鬼祟祟一看就是他,null,5-27 12:53,
Mose_FT,小小年纪不干好事,null,5-27 12:51,
二雪_会狠幸福哒,没有密码吗？,null,5-27 12:46,
LUCKY94LY,傻子,null,5-27 12:43,
于倩倩也是于倩倩,活不起了咋的,null,5-27 12:33,
淫贼空荡荡,我都是等到我结账才打开二维码,null,5-27 12:07,
阿雪雪要变strong,打开付款码的时候一直有这种担心，但总觉得应该不会有人这么缺德，果然还真有,null,5-27 11:58,
蔡di猫,@----笑死 你要小心啊,null,5-27 11:58,
纯水果派,上次有个发支付漏洞的视频，现在这么快就有人学了。,null,5-27 11:56,
火星人来地球稳食啦2013,怎么判？,null,5-27 11:53,
囧兔美mei8,昨盗？,null,5-27 11:51,
WeiBKreuz丶,记得领支付宝安全险，被盗刷能赔.,null,5-27 11:49,
晚风夏夜,打码是怕他们伤自尊吗？也太护着这些不务正业、坑蒙拐骗、想不劳而获、想走捷径的犯罪分子吗？是害了他们，不是在帮他们！,null,5-27 11:45,
无为而为20609,关注,null,5-27 11:44,
素食大花猫,怎么实现的,null,5-27 11:43,
蟹黄味蚕豆豆,胸…,null,5-27 11:36,
ly不打扰是我最后的温柔,搞笑，为啥总是给犯罪人打马赛克，普通人不打,null,5-27 11:32,
想歇,这是看了那个科普视频学的吧,null,5-27 11:08,
溜肩的小仓鼠,实名制盗刷,null,5-27 11:07,
-Amber-L-,防偷窥膜注意一下,null,5-27 10:57,
破白家小迷妹,服了,null,5-27 10:53,
sofaya1108baby,真的要小心了。我一般是轮到我付款时，点开付款二维码给超市收银员，这样不会被盗刷。//@港味美衣:前几天才看到警察提示别在收付款的时候提前点开二维码，这就出消息了，现在真的是要随时保持警惕才行,null,5-27 10:49,
ly不打扰是我最后的温柔,搞笑，为啥总是给犯罪人打马赛克，普通人不打,null,5-27 10:41,
机智如Ken,有点傻，不知道有监控这种东西吗。。。。,null,5-27 10:39,
ymliner,与时俱进啊,null,5-27 10:34,
一会儿就老了,我之前就想到过这个，所以每次都是轮到自己的时候再快速打开，不然就是用手遮住,null,5-27 10:32,
穿乌克丽丽的花衬衫,还好我没钱,null,5-27 10:27,
laozihenmang,@努力修炼厨艺中 注意保护二维码,null,5-27 10:20,
JN谢姑娘,有手有脚还做这种事,null,5-27 10:20,
楊久日cherie,我付钱是都是当时付当时出示，绝对不提前出示，以前就有这个新闻出来过，实在不行，各位就刷脸支付吧,null,5-27 10:19,
king_of_AATS,有“滴”的声音没听出来？,null,5-27 10:17,
圈拾落luomans,@小居居的胖麻麻,null,5-27 10:17,
原来是苗苗,@Viva-Espana 我咋没看懂，你给我讲讲,null,5-27 10:10,
草莓热巧克力咖啡,咋偷得？不都是超市扫我们？咋他也可以呢,null,5-27 10:08,
tourist的缄默,都没地钱给人盗刷,null,5-27 10:05,
-木子Fang,@Niko林浩强,null,5-27 10:01,
蜡笔不小新Cool,这都什么超市，不是可以用机器扫付款码吗？,null,5-27 09:59,
彬蒂,转发微博,null,5-27 09:59,
沒曲線的醜八怪,不是有隐藏一半数字的吗 还是刚刚出来的？,null,5-27 09:56,
张发宗·,@TopGirl_,null,5-27 09:50,
guowang梦li见,现在的小偷都是技术流啊 小偷的行业也升级换代了,null,5-27 09:45,
甜品坊S,是不是傻？？都9102年了还抓不到你？？,null,5-27 09:43,
LNTS一生忠橙XHC小橙子,我拿着手机支付时也想不会有人扫我的码吧，果然真有这号人，人啊还是不能太善良,null,5-27 09:42,
旺旺马上来,这种坏蛋,null,5-27 09:37,1
梧桐丶黯,哈哈实名制抢劫,null,5-27 09:33,
傻喵喵说你最美啦,//@港味美衣:前几天才看到警察提示别在收付款的时候提前点开二维码，这就出消息了，现在真的是要随时保持警惕才行,null,5-27 09:32,
lizi2020,什么软件曝光出来呀,null,5-27 09:32,
采蘑菇的在御166,//@空白抹泪:唉，该提高警惕了,null,5-27 09:29,
奶橘喵祝朱一龙0416生日快乐,还好我的余额都成个位数了,null,5-27 09:29,
孤儿仔Zeds,@Cassiel_mm,null,5-27 09:27,
叫我格格大人_,@阿黃莎拉 ！！！,共1条回复,5-27 09:19,
BlacKing也有人抢,二维码始终是不安全的…,null,5-27 09:17,
渐行渐远的Man,观点1：如果你认为盗窃是秘密进行，它属于抢夺罪，不属于盗窃罪。 观点2:如果你认为盗窃是可以公然盗窃，它就属于盗窃罪，不属于抢夺罪。,共1条回复,5-27 09:17,
我和我的向往,小偷也是个聪明人,null,5-27 09:13,
家里有个缸,转发微博,null,5-27 09:12,
添福宝的娜吖_na,我都是到我了才把付款码显示给收银员的，扫了之后立即灭屏，出门在外 多多小心才是,null,5-27 09:09,
人自由人7,#用二维码付款被身后人盗刷#小心使用二维码,null,5-27 09:02,
Jina小黄人,@-徐诚,null,5-27 08:58,
胡吃海何大玺糖,我都是把界面对着工作人员,null,5-27 08:58,
