#小学生打赏游戏主播#,,,,
username,comment,interact,date,likes
小Cvivianne3645,这种人真的说句严重的可以放少年管教所了!看看他现在的态度和作为，将来指不定还会干什么伤天害理的坏事！,null,2017-5-28,
我的青春鸡飞狗跳丷,大家有注意到这个孩子一开始的态度吗？脾气很硬啊 他妈打他两下说别碰我 刷了大把的钱12岁的孩子 当他妈质问他时 他还这个态度 导致孩子这样 还是跟教育有关 不好好教育 真的费咯,null,2017-5-28,1
gCathyg,这孩子真不知道心疼母亲,null,2017-5-28,
-指尖的阳光-Emily,my god，这么点就这样挥霍父母的钱。,null,2017-5-28,
TOP追风的小姐姐,没有人在意小孩怎么知道她妈的密码这事吗？,null,2017-5-28,
遗忘的吴先生,三观已歪，送去改造,null,2017-5-28,
一句自律nm,怎么说，我也特别反感直播，每天打赏应该有个限额才行，毕竟小孩不懂事,null,2017-5-28,
没蘸盐的小鸡腿,啊！养个小孩真的不容易啊！,null,2017-5-28,
我没意见啊,瓜皮娃，打王者荣耀就简单的玩玩呗，还看直播送礼物，牛b了，一次4万，比我还大方，,null,2017-5-28,
何须花浅,王者荣耀害人啊,null,2017-5-28,
雨后的天空198507,熊孩子一枚，妈妈挣得血汗钱就这么挥霍了，所以说就不能叫孩子玩，一个是乱花钱再就游戏还坑队友,null,2017-5-28,
GOSTH南子,王者荣耀啊王者荣耀 ……🙈喜欢玩儿 但是有度,null,2017-5-28,
麦兜xzl,这熊孩子,null,2017-5-28,
戏精夫妇,讲真，。对主播行业这种无底洞式的高消费很是无语。。像个漩涡一样。,null,2017-5-28,
丝丝侥幸,申请退回,null,2017-5-28,
那谁那谁谁,妈妈那么不容易，都不知道体谅,null,2017-5-28,
不喜欢寒冷炎热的我,小孩玩游戏都跟钱挂钩了，家长管不了，还是玩，，游戏给多少人增加烦恼,null,2017-5-28,
滥番薯,小学生啊，真是不敢小瞧。,null,2017-5-28,
寒枭h,有些人是没看到小孩子玩手机，那个6啊，,null,2017-5-28,
卜晓星,只想知道再出多少事才能引起文化局 广电局之类的部门重视,null,2017-5-28,
Cute-Porket,游戏害人害己！远离游戏！,null,2017-5-28,
宁万斤之茫然,心智不成熟啊,null,2017-5-28,
Tag-aheyniu,我的妈耶,null,2017-5-28,
你看起来可能好吃,港真，直播这个行业监管太少，几乎木有。,null,2017-5-28,
小鸟err,现在连小学生也沉迷于王者荣耀这些手游了，每天都能看到很多人拿着手机打王者，对于这种现象，我也是无奈,null,2017-5-28,
老夫李先生,坑娘的娃，毫无悔改,null,2017-5-28,
寂寞杀猪刀,子不教，父之过。。。这种孩子没什么是打一顿解决不了的，如果有，那就打两顿。。,null,2017-5-28,
sunlitwang,真是王者农药,null,2017-5-28,
简得漓,很心酸，父母总是自己忍着吃苦尽力为孩子营造一种相对舒适的生活，寒门更甚，可父母的这种爱或许是用错了啊，不是每个小孩都能体谅父母的一番苦心，反而是让孩子早早吃点苦头比较好。,null,2017-5-28,
