#11岁小学生打赏男主播#,,,,
username,comment,interact,date,likes
兔兔_不二Samamamama,散了吧，这点钱人家不在乎,null,4-11 22:20,
加菲猫garfield2019,赚钱没底线,null,4-11 21:56,
能量而己,穷人替富人操心系列,null,4-12 12:37,1
车华时代,应该推广附属卡功能，超高转账，会打电话给卡主确认！不用心经营的新四大发明只会让人耻笑！//@松缪程: //@涂强想当段子手：这是因为货币电子化之后，导致花钱无肉痛了。如果是纸币，女孩会打赏叫花子100万吗？//@黑白相间的奇怪远古熊类: //@没有棒头额紫雪糕 :她妈！//@灶披间小K :怪谁？,null,4-12 10:23,1
7777777777ZZZ,他妈卡额度挺高啊,null,4-11 23:58,1
Moderattooo,@Pigggirl,null,4-17 19:49,
Tylor王总,主播到底给社会做出了什么贡献....,null,4-14 13:15,
马里奥陈0121,二三线城市一套房打出去了,null,4-13 12:48,
小白说骄阳似我,"网络乞丐,公开乞讨",null,4-13 08:32,
墨筱晏,还有一个女主播，给某芬骑刷的礼物最多，她一给别人刷，某芬骑就哭，女孩就会再给某某芬骑刷几万，现在女孩给某芬骑刷了数十万，是所有主播中刷的最多的,null,4-12 20:07,1
yuuuuuuuuuuuuuur,@沂水舞雩 哇，这个主播可以去演戏了,null,4-12 15:41,
touchfat,这个很好搞啊……既然有聊天记录，只要能证明主播知道打赏之人是什么人，不仅可以让这几个主播把钱吐出来，还可能让他们吃牢饭。这事儿只要多花点钱找个靠谱的律师来做就行了。,null,4-12 14:39,
番茄蛋達人,//@车华时代: 应该推广附属卡功能，超高转账，会打电话给卡主确认！不用心经营的新四大发明只会让人耻笑！//@松缪程://@涂强想当段子手：这是因为货币电子化之后，导致花钱无肉痛了。如果是纸币，女孩会打赏叫花子100万吗？//@黑白相间的奇怪远古熊类://@没有棒头额紫雪糕 :她妈！//@灶披间小K :怪谁？,null,4-12 14:03,
可楽壹,@V梦pire 小朋友居然可以拥有妈妈这么高额度的信用卡,null,4-12 13:49,
这昵称是假的,她字居然比我的好看,null,4-12 13:10,
咸鱼王炸,真有钱啊,null,4-12 12:32,
越人旅途,关键是信用卡能刷出140万，这是一个什么级别,null,4-12 12:24,
lei66533,晕，什么套路,null,4-12 12:08,
金刀玉桉,刷卡没有短信通知么,null,4-12 12:02,
伟大社会主义砥砺前行第一人,@荷西河东,null,4-12 10:49,
Andy-W的一些事一些情,有钱人就是不一样。家长就冇责任？密码交给女儿？任由个女刷卡消费？11号到29号都有消费记录，银行冇消费通知噶咩？有钱人的世界我不懂,null,4-12 09:38,
朵朵momo,以前就那些10几万的，父母无不痛哭流涕说怎么困难，想让人帮助拿回来，结果真正有钱的人只会让孩子写个保证书而已，话说能办得到这种大额度信用卡的家里也不缺这100多万吧。,null,4-12 09:24,
施小姐13582629199,//@風中微塵: //@开水族馆的生物男:这种垃圾有办法收拾不//@儿科医生崔咏望:主播说到动情处竟有点无语凝噎，这么好的苗子不进娱乐圈真浪费了,null,4-12 09:22,
fffishcoldstarrrr,直播平台啥时候好好整改啊，乌烟瘴气的,null,4-12 08:46,
白菜真好看,这是个什么平台啊，听都没听过,null,4-12 08:44,
六月Donna,有空练练字吧，哎,null,4-12 08:22,
叶师傅叫景雲,当事人已认识到自己的错误并要求平台对自己的错误承担责任,null,4-12 08:14,
P谁酱,请按诈骗罪处理平台,null,4-12 08:00,
廖海波的小迷妹,我有一个大胆的想法,null,4-12 08:00,
煜月丶,我看直播五年了，连某鱼一张卡都没送过，白嫖了五年233，还好有这种人，不然怕是某鱼某牙等平台都要倒闭233,null,4-12 07:48,
绿眼_Mir,之前不就是有主播教小屁孩怎么弄到卡并绑上账号刷礼物吗,null,4-12 07:27,
牙米诺奇卡拉,交行单张信用卡额度要达到50万以上的话，必须在交行有1000万以上的固定资产抵押或者存款,null,4-12 05:45,
逸清先生,信用卡消费没有提醒的吗？他家里人设置的单笔1000万提醒？,null,4-12 04:56,
